<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.07	32221	32901	32194	32811	111109	0	5
2022.11.08	32813	33364	32763	33140	98603	0	5
2022.11.09	33128	33224	32486	32538	122972	0	5
2022.11.10	32527	33797	32516	33790	119687	0	5
2022.11.11	33754	33980	33407	33769	117987	0	5
2022.11.14	33690	33979	33548	33624	88204	0	5
2022.11.15	33618	34024	33323	33572	129052	0	5
2022.11.16	33511	33731	33469	33619	108627	0	5
2022.11.17	33646	33730	33188	33580	95236	0	5
2022.11.18	33564	33852	33468	33778	89132	0	5
2022.11.21	33784	33896	33583	33729	84067	0	5
2022.11.22	33747	34135	33657	34130	65787	0	5
2022.11.23	34128	34275	34013	34254	72915	0	5
2022.11.24	34253	34300	34223	34267	23386	0	5
2022.11.25	34256	34391	34204	34380	38372	0	5
2022.11.28	34291	34318	33804	33856	70627	0	5
2022.11.29	33857	33978	33666	33865	79586	0	5
2022.11.30	33861	34644	33621	34614	96529	0	5
2022.12.01	34614	34705	34155	34405	98752	0	5
2022.12.02	34398	34525	33933	34459	88181	0	5
2022.12.05	34408	34448	33880	34002	81511	0	5
2022.12.06	34006	34078	33450	33633	88745	0	5
2022.12.07	33634	33809	33462	33615	95913	0	5
2022.12.08	33622	33928	33482	33790	85168	0	5
2022.12.09	33809	33955	33486	33497	79396	0	5
2022.12.12	33474	34022	33431	33981	65386	0	5
2022.12.13	33988	34949	33908	34120	105560	0	5
2022.12.14	34140	34420	33712	34055	90185	0	5
2022.12.15	34258	34336	33241	33396	100076	0	5
2022.12.16	33420	33491	32867	33114	97132	0	5
2022.12.19	33105	33277	32790	32942	82924	0	5
2022.12.20	32971	33202	32684	33114	110066	0	5
2022.12.21	33164	33642	33141	33625	79389	0	5
2022.12.22	33615	33660	32750	33195	90468	0	5
2022.12.23	33181	33408	32987	33385	96812	0	5
2022.12.27	33461	33610	33240	33424	74668	0	5
2022.12.28	33426	33561	33023	33064	82339	0	5
2022.12.29	33072	33455	32996	33355	66208	0	5
2022.12.30	33346	33368	32986	33289	72200	0	5
2023.01.03	33456	33641	32981	33245	114712	0	5
2023.01.04	33236	33560	33169	33384	99462	0	5
2023.01.05	33373	33464	32941	33087	93440	0	5
2023.01.06	33091	33860	33036	33768	91544	0	5
2023.01.09	33801	34076	33628	33662	78436	0	5
2023.01.10	33657	33867	33487	33844	86446	0	5
2023.01.11	33830	34124	33824	34124	62018	0	5
2023.01.12	34108	34419	33846	34305	98872	0	5
2023.01.13	34295	34462	34004	34417	75588	0	5
2023.01.16	34419	34486	34301	34378	20067	0	5
2023.01.17	34400	34424	33968	34000	73636	0	5
2023.01.18	33966	34126	33364	33371	83793	0	5
2023.01.19	33374	33389	33066	33154	84051	0	5
